"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","Tags"
"SpaMTPData_annotation_refinement_input_1.0.0","Annotated spotted MALDI experiment for testing pathway and pseudo-MS/MS refinement.","3.24",,"RDS","https://zenodo.org/records/17289187","1.0.0",,,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","MSImagingExperiment","Rds","https://zenodo.org/api/records/17289187/files/","spotted_Annotated_H_Cl_Adducts.RDS/content","SpaMTPData:Annotation:MassSpectrometry"
"SpaMTPData_annotation_refinement_scores_1.0.0","Cached annotation-refinement score output used to validate SpaMTP results.","3.24",,"RDS","https://zenodo.org/records/17352749","1.0.0",,,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","list","Rds","https://zenodo.org/api/records/17352749/files/","annotation_zscore_output.RDS/content","SpaMTPData:Annotation:Validation"
"SpaMTPData_big_data_roi_1.0.0","Small spotted MALDI region of interest for the SpaMTP large-data workflow.","3.24",,"RDS","https://zenodo.org/records/17352749","1.0.0",,,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","MSImagingExperiment","Rds","https://zenodo.org/api/records/17352749/files/","spotted_small_ROI.RDS/content","SpaMTPData:MALDI:BigData"
"SpaMTPData_human_brain_integrated_1.0.0","Integrated human brain spatial metabolomics, transcriptomics and protein object from the SpaMTP publication.","3.24","GRCh38","RDS","https://zenodo.org/records/18282678","1.0.0","Homo sapiens",9606,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","Seurat","Rds","https://zenodo.org/api/records/18282678/files/","brain_tumour_integrated.rds/content","SpaMTPData:HumanBrain:SpatialMultiomics"
"SpaMTPData_human_brain_pathways_1.0.0","Regional pathway results associated with the integrated human brain SpaMTP object.","3.24","GRCh38","RDS","https://zenodo.org/records/18282678","1.0.0","Homo sapiens",9606,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","data.frame","Rds","https://zenodo.org/api/records/18282678/files/","brain_tumour_combined_pathways.rds/content","SpaMTPData:HumanBrain:Pathways"
"SpaMTPData_pig_fetus_cardinal_1.0.0","Pig fetus MALDI imaging experiment used to demonstrate Cardinal object import.","3.24","Sscrofa11.1","RDS","https://zenodo.org/records/17246555","1.0.0","Sus scrofa",9823,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","MSImagingExperiment","Rds","https://zenodo.org/api/records/17246555/files/","pig206.RDS/content","SpaMTPData:MALDI:PigFetus:Import"
"SpaMTPData_human_rcc_cardinal_1.0.0","Human renal cell carcinoma MALDI imaging experiment used to demonstrate imzML/Cardinal import.","3.24","GRCh38","RDS","https://zenodo.org/records/17246588","1.0.0","Homo sapiens",9606,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","MSImagingExperiment","Rds","https://zenodo.org/api/records/17246588/files/","rcc.RDS/content","SpaMTPData:MALDI:HumanRCC:Import"
"SpaMTPData_annotation_refinement_results_csv_1.0.0","Peak-level result table paired with the spotted MALDI large-data and annotation-refinement examples.","3.24",,"CSV","https://zenodo.org/records/17352749","1.0.0",,,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","FilePath","FilePath","https://zenodo.org/api/records/17352749/files/","results_spotted.csv/content","SpaMTPData:Annotation:Validation:CSV"
"SpaMTPData_mouse_brain_visium_1.1.0","Processed mouse brain Visium object used in the SpaMTP spatial multi-omics workflow. Native SpatialExperiment retaining selected assays, annotations and centroids; optical, polygon and Seurat graph/reduction payloads are omitted.",3.24,"GRCm39","RDS","https://zenodo.org/records/17246900","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","SpatialExperiment","Rds","https://zenodo.org/api/records/22733262/files/","mouse_brain_visium_spe.rds/content","SpaMTPData:SpatialTranscriptomics:MouseBrain:SpatialExperiment:Native"
"SpaMTPData_mouse_brain_fmp10_1.1.0","Aligned FMP10 MALDI-MSI mouse brain object used for SpaMTP integration and annotation examples. Native SpatialExperiment retaining selected assays, annotations and centroids; optical, polygon and Seurat graph/reduction payloads are omitted.",3.24,"GRCm39","RDS","https://zenodo.org/records/17246900","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","SpatialExperiment","Rds","https://zenodo.org/api/records/22733262/files/","mouse_brain_fmp10_spe.rds/content","SpaMTPData:MALDI:MassSpectrometry:MouseBrain:SpatialExperiment:Native"
"SpaMTPData_mouse_brain_dhb_striatum_1.1.0","DHB mouse brain striatum SpaMTP object used for pathway-network demonstrations. Native SpatialExperiment retaining selected assays, annotations and centroids; optical, polygon and Seurat graph/reduction payloads are omitted.",3.24,"GRCm39","RDS","https://zenodo.org/records/17246900","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","SpatialExperiment","Rds","https://zenodo.org/api/records/22733262/files/","mouse_brain_dhb_striatum_spe.rds/content","SpaMTPData:MALDI:Pathways:MouseBrain:SpatialExperiment:Native"
"SpaMTPData_mouse_bladder_raw_1.1.0","Raw mouse urinary bladder MALDI-MSI experiment used by the SpaMTP introductory workflow.",3.24,"GRCm39","RDS","https://zenodo.org/records/17246684","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","MSImagingExperiment","Rds","https://zenodo.org/api/records/17246684/files/","raw_bladder.RDS/content","SpaMTPData:MALDI:MassSpectrometry:MouseBladder"
"SpaMTPData_mouse_bladder_annotated_1.1.0","Annotated mouse urinary bladder SpaMTP object for plotting and pathway examples. Native SpatialExperiment retaining selected assays, annotations and centroids; optical, polygon and Seurat graph/reduction payloads are omitted.",3.24,"GRCm39","RDS","https://zenodo.org/records/17246684","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","SpatialExperiment","Rds","https://zenodo.org/api/records/22733262/files/","mouse_bladder_annotated_spe.rds/content","SpaMTPData:MALDI:MouseBladder:SpatialExperiment:Native"
"SpaMTPData_mouse_bladder_histology_1.1.0","Histology image associated with the mouse urinary bladder SpaMTP example.",3.24,"GRCm39","RDS","https://zenodo.org/records/17246684","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","array","Rds","https://zenodo.org/api/records/17246684/files/","bladder_HE.RDS/content","SpaMTPData:Histology:MouseBladder"
"SpaMTPData_mouse_bladder_intensity_csv_1.1.0","Mouse urinary bladder intensity matrix in CSV format.",3.24,"GRCm39","CSV","https://zenodo.org/records/17246684","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","FilePath","FilePath","https://zenodo.org/api/records/17246684/files/","bladder_csv.csv/content","SpaMTPData:MALDI:MouseBladder"
"SpaMTPData_mouse_bladder_metadata_csv_1.1.0","Pixel metadata for the mouse urinary bladder intensity matrix.",3.24,"GRCm39","CSV","https://zenodo.org/records/17246684","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","FilePath","FilePath","https://zenodo.org/api/records/17246684/files/","bladder_metadata.csv/content","SpaMTPData:MALDI:MouseBladder"
"SpaMTPData_simulated_xenium_1.1.0","Simulated Xenium-like transcriptomics object for single-cell multi-omics examples. Native SpatialExperiment retaining selected assays, annotations and centroids; optical, polygon and Seurat graph/reduction payloads are omitted.",3.24,"GRCm39","RDS","https://zenodo.org/records/17247007","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","SpatialExperiment","Rds","https://zenodo.org/api/records/22733262/files/","simulated_xenium_spe.rds/content","SpaMTPData:SingleCell:SpatialTranscriptomics:SpatialExperiment:Native"
"SpaMTPData_simulated_maldi_1.1.0","Simulated single-cell MALDI object paired with the Xenium-like experiment. Native SpatialExperiment retaining selected assays, annotations and centroids; optical, polygon and Seurat graph/reduction payloads are omitted.",3.24,"GRCm39","RDS","https://zenodo.org/records/17247007","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","SpatialExperiment","Rds","https://zenodo.org/api/records/22733262/files/","simulated_maldi_spe.rds/content","SpaMTPData:SingleCell:MALDI:SpatialExperiment:Native"
"SpaMTPData_annotation_refinement_input_1.1.0","Annotated spotted MALDI experiment for testing pathway and pseudo-MS/MS refinement.",3.24,"","RDS","https://zenodo.org/records/17289187","1.0.0","",,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","MSImagingExperiment","Rds","https://zenodo.org/api/records/17289187/files/","spotted_Annotated_H_Cl_Adducts.RDS/content","SpaMTPData:Annotation:MassSpectrometry"
"SpaMTPData_annotation_refinement_scores_1.1.0","Cached annotation-refinement score output used to validate SpaMTP results.",3.24,"","RDS","https://zenodo.org/records/17352749","1.0.0","",,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","list","Rds","https://zenodo.org/api/records/17352749/files/","annotation_zscore_output.RDS/content","SpaMTPData:Annotation:Validation"
"SpaMTPData_big_data_roi_1.1.0","Small spotted MALDI region of interest for the SpaMTP large-data workflow.",3.24,"","RDS","https://zenodo.org/records/17352749","1.0.0","",,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","MSImagingExperiment","Rds","https://zenodo.org/api/records/17352749/files/","spotted_small_ROI.RDS/content","SpaMTPData:MALDI:BigData"
"SpaMTPData_human_brain_integrated_1.1.0","Integrated human brain spatial metabolomics, transcriptomics and protein object from the SpaMTP publication. Native SpatialExperiment retaining selected assays, annotations and centroids; optical, polygon and Seurat graph/reduction payloads are omitted.",3.24,"GRCh38","RDS","https://zenodo.org/records/18282678","1.0.0","Homo sapiens",9606,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","SpatialExperiment","Rds","https://zenodo.org/api/records/22733262/files/","human_brain_integrated_spe.rds/content","SpaMTPData:HumanBrain:SpatialMultiomics:SpatialExperiment:Native"
"SpaMTPData_human_brain_pathways_1.1.0","Regional pathway results associated with the integrated human brain SpaMTP object.",3.24,"GRCh38","RDS","https://zenodo.org/records/18282678","1.0.0","Homo sapiens",9606,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","data.frame","Rds","https://zenodo.org/api/records/18282678/files/","brain_tumour_combined_pathways.rds/content","SpaMTPData:HumanBrain:Pathways"
"SpaMTPData_pig_fetus_cardinal_1.1.0","Pig fetus MALDI imaging experiment used to demonstrate Cardinal object import.",3.24,"Sscrofa11.1","RDS","https://zenodo.org/records/17246555","1.0.0","Sus scrofa",9823,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","MSImagingExperiment","Rds","https://zenodo.org/api/records/17246555/files/","pig206.RDS/content","SpaMTPData:MALDI:PigFetus:Import"
"SpaMTPData_human_rcc_cardinal_1.1.0","Human renal cell carcinoma MALDI imaging experiment used to demonstrate imzML/Cardinal import.",3.24,"GRCh38","RDS","https://zenodo.org/records/17246588","1.0.0","Homo sapiens",9606,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","MSImagingExperiment","Rds","https://zenodo.org/api/records/17246588/files/","rcc.RDS/content","SpaMTPData:MALDI:HumanRCC:Import"
"SpaMTPData_annotation_refinement_results_csv_1.1.0","Peak-level result table paired with the spotted MALDI large-data and annotation-refinement examples.",3.24,"","CSV","https://zenodo.org/records/17352749","1.0.0","",,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","FilePath","FilePath","https://zenodo.org/api/records/17352749/files/","results_spotted.csv/content","SpaMTPData:Annotation:Validation:CSV"
